buyer,seller,rate,date
197456855,795606679,2,10/11/2018
407305814,795606679,2,09/20/2018
983677325,795606679,2,09/20/2018
406671642,795606679,2,07/25/2018
661213563,795606679,2,07/19/2018
205892995,795606679,2,06/14/2018
556263782,795606679,2,05/20/2018
228843745,795606679,2,05/05/2018
193716511,795606679,2,04/22/2018
193716511,795606679,2,04/22/2018
976006426,795606679,2,04/17/2018
703524635,795606679,2,04/14/2018
443341399,795606679,2,04/03/2018
979478148,795606679,2,02/24/2018
407502057,795606679,2,02/18/2018
466263476,795606679,2,02/16/2018
423980851,795606679,2,02/01/2018
376838351,795606679,2,12/23/2017
621110661,795606679,2,12/21/2017
131384261,795606679,2,12/17/2017
382349261,795606679,2,11/27/2017
385825606,795606679,2,11/24/2017
165585444,795606679,2,11/24/2017
211472353,795606679,2,11/07/2017
772860179,795606679,2,10/27/2017
632628868,795606679,2,10/23/2017
801331978,795606679,2,10/13/2017
120331159,795606679,2,10/06/2017
654380384,795606679,2,09/17/2017
435123578,795606679,2,09/01/2017
925019845,795606679,2,08/31/2017
437143036,795606679,2,08/17/2017
812343944,795606679,2,08/03/2017
160169641,795606679,2,07/29/2017
668745344,795606679,2,07/14/2017
374585794,795606679,2,06/24/2017
924758683,795606679,2,06/13/2017
132312962,795606679,2,05/25/2017
132312962,795606679,2,05/14/2017
409021450,795606679,2,04/12/2017
135229141,795606679,2,04/10/2017
389370972,795606679,2,04/06/2017
930637335,795606679,2,04/02/2017
436196850,795606679,2,03/30/2017
970383720,795606679,2,03/25/2017
675832867,795606679,2,03/14/2017
485721070,795606679,2,03/13/2017
419000689,795606679,2,03/09/2017
193716511,795606679,2,03/04/2017
193716511,795606679,2,02/26/2017
487952162,795606679,2,02/11/2017
510813913,795606679,2,02/05/2017
718194359,795606679,2,01/27/2017
657206940,795606679,2,01/24/2017
747678976,795606679,2,01/19/2017
982515726,795606679,2,01/17/2017
992586118,795606679,2,01/09/2017
453624253,795606679,2,01/06/2017
392075004,795606679,2,01/05/2017
540270029,795606679,2,12/30/2016
416946039,795606679,2,12/27/2016
698888724,795606679,2,12/26/2016
752762886,795606679,2,12/24/2016
548948637,795606679,2,12/18/2016
427520624,795606679,2,12/13/2016
185294568,795606679,2,12/13/2016
374061637,795606679,2,12/12/2016
164646829,795606679,2,12/08/2016
164646829,795606679,2,12/03/2016
768176891,795606679,2,12/02/2016
756451501,795606679,2,11/29/2016
855894816,795606679,2,11/28/2016
855894816,795606679,2,11/28/2016
170974985,795606679,1,08/27/2018
665761439,795606679,0,04/23/2017
665761439,389458252,2,05/31/2017
665761439,499137353,2,05/11/2017
665761439,710643462,2,05/08/2017
665761439,795606679,2,04/24/2017
665761439,783082383,2,04/23/2017
761431327,665761439,2,04/16/2017
665761439,732036130,2,04/14/2017
665761439,938404573,2,04/12/2017
102942485,665761439,2,04/11/2017
665761439,393161534,2,04/05/2017
665761439,393161534,2,04/05/2017
545167780,665761439,2,03/29/2017
949946291,665761439,2,03/10/2017
665761439,334233704,2,03/10/2017
905395035,665761439,2,03/10/2017
665761439,190566153,2,02/18/2017
665761439,622214889,2,02/11/2017
665761439,252249247,2,02/07/2017
665761439,671658324,2,01/24/2017
665761439,771726029,2,01/19/2017
665761439,152049229,2,01/14/2017
665761439,569565014,2,01/11/2017
665761439,524484731,2,01/11/2017
665761439,607438798,2,12/17/2016
665761439,334233704,2,12/15/2016
665761439,245272264,2,12/15/2016
665761439,838188181,2,12/15/2016
665761439,145766924,2,10/07/2016
665761439,555039497,1,05/11/2017
396008889,555039497,2,07/16/2018
402288852,555039497,2,07/13/2018
340211065,555039497,2,06/23/2018
383187057,555039497,2,06/22/2018
698246417,555039497,2,06/15/2018
586881147,555039497,2,06/14/2018
383187057,555039497,2,06/13/2018
627595210,555039497,2,06/10/2018
315070109,555039497,2,05/30/2018
725281455,555039497,2,05/25/2018
224504439,555039497,2,05/24/2018
132893030,555039497,2,05/18/2018
518538232,555039497,2,05/08/2018
513735292,555039497,2,05/03/2018
818605731,555039497,2,04/30/2018
169460681,555039497,2,04/26/2018
169328643,555039497,2,04/26/2018
555039497,932119500,2,04/25/2018
928931514,555039497,2,04/24/2018
280223207,555039497,2,04/21/2018
334341225,555039497,2,04/20/2018
476659968,555039497,2,04/16/2018
568895727,555039497,2,04/16/2018
909150180,555039497,2,04/14/2018
451545624,555039497,2,04/13/2018
669497158,555039497,2,04/07/2018
556326001,555039497,2,04/07/2018
187895773,555039497,2,04/05/2018
466996043,555039497,2,04/03/2018
727759555,555039497,2,04/02/2018
648769407,555039497,2,03/30/2018
157672521,555039497,2,03/28/2018
422196133,555039497,2,03/27/2018
386043788,555039497,2,03/25/2018
255430792,555039497,2,03/21/2018
365390717,555039497,2,03/21/2018
311447743,555039497,2,03/20/2018
876140064,555039497,2,03/19/2018
840839406,555039497,2,03/16/2018
530442941,555039497,2,03/15/2018
677020120,555039497,2,03/15/2018
876140064,555039497,2,03/13/2018
193007437,555039497,2,03/13/2018
143393812,555039497,2,03/10/2018
348911137,555039497,2,03/08/2018
195281162,555039497,2,03/08/2018
262998511,555039497,2,03/08/2018
143393812,555039497,2,03/06/2018
650141814,555039497,2,03/01/2018
923350833,555039497,2,03/01/2018
143393812,555039497,2,03/01/2018
634406311,555039497,2,02/28/2018
412882948,555039497,2,02/28/2018
298990316,555039497,2,02/27/2018
579476810,555039497,2,02/27/2018
399047300,555039497,2,02/26/2018
570677784,555039497,2,02/25/2018
708347722,555039497,2,02/24/2018
120220958,555039497,2,02/24/2018
910142275,555039497,2,02/23/2018
575728890,555039497,2,02/23/2018
485534610,555039497,2,02/23/2018
100864276,555039497,2,02/22/2018
867308024,555039497,2,02/21/2018
891472645,555039497,2,02/21/2018
692661894,555039497,2,02/21/2018
317132823,555039497,2,02/21/2018
471559387,555039497,2,02/16/2018
200296960,555039497,2,02/12/2018
503829155,555039497,2,02/10/2018
443510812,555039497,2,02/09/2018
619930755,555039497,2,01/31/2018
791164853,555039497,2,01/31/2018
372947897,555039497,2,01/31/2018
177360641,555039497,2,01/30/2018
359621414,555039497,2,01/30/2018
559567878,555039497,2,01/29/2018
743807870,555039497,2,01/29/2018
913328233,555039497,2,01/27/2018
302941270,555039497,2,01/26/2018
406276893,555039497,2,01/26/2018
613703308,555039497,2,01/25/2018
923677212,555039497,2,01/24/2018
901577919,555039497,2,01/24/2018
113920476,555039497,2,01/24/2018
430564790,555039497,2,01/23/2018
271197383,555039497,2,01/23/2018
763321113,555039497,2,01/22/2018
311976631,555039497,2,12/23/2017
311976631,555039497,2,12/21/2017
213678545,555039497,2,12/21/2017
333497013,555039497,2,12/16/2017
278031235,555039497,2,12/15/2017
361949756,555039497,2,12/15/2017
782295084,555039497,2,12/13/2017
843816452,555039497,2,12/11/2017
848035727,555039497,2,12/10/2017
308903438,555039497,2,12/09/2017
344715818,555039497,2,12/06/2017
285700960,555039497,2,12/02/2017
989218285,555039497,2,11/20/2017
375416552,555039497,2,11/12/2017
532637589,555039497,2,11/10/2017
475625790,555039497,2,11/07/2017
735169032,555039497,2,11/03/2017
905783224,555039497,2,10/29/2017
389199966,555039497,2,10/28/2017
984969476,555039497,2,10/28/2017
124357575,555039497,2,10/25/2017
215340076,555039497,2,10/24/2017
731740904,555039497,2,10/24/2017
776833604,555039497,2,10/23/2017
260178760,555039497,2,10/22/2017
153209398,555039497,2,10/21/2017
924696484,555039497,2,10/21/2017
741108250,555039497,2,10/21/2017
247296019,555039497,2,10/20/2017
800699235,555039497,2,10/19/2017
898225017,555039497,2,10/19/2017
648673040,555039497,2,10/18/2017
943728914,555039497,2,10/17/2017
840774478,555039497,2,10/16/2017
858378364,555039497,2,10/16/2017
985504481,555039497,2,10/15/2017
148697333,555039497,2,10/15/2017
816091446,555039497,2,10/14/2017
661785913,555039497,2,10/12/2017
201215970,555039497,2,10/11/2017
777007850,555039497,2,10/11/2017
681084445,555039497,2,10/10/2017
523684064,555039497,2,10/08/2017
796196753,555039497,2,10/08/2017
973826451,555039497,2,10/06/2017
